deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
9161,0.088867188,0.047363281,1.329589844,-2.532958984,-0.152587891,2.899169922,-117.3750916,-117.1692657,0
9166,0.090820313,0.046386719,1.330566406,-2.593994141,-0.152587891,2.807617188,-117.3750916,-117.1692657,0
9171,0.090820313,0.046386719,1.330566406,-2.563476563,-0.152587891,2.868652344,-117.4702148,-117.1692657,0
9185,0.090332031,0.049804688,1.330566406,-2.655029297,-0.152587891,2.716064453,-117.4702148,-117.1692657,0
9191,0.087890625,0.047851563,1.328125,-2.563476563,-0.152587891,2.563476563,-117.4702148,-117.1692657,0
9196,0.089355469,0.046386719,1.33203125,-2.624511719,-0.122070313,2.44140625,-117.4702148,-117.1692657,0
9201,0.090332031,0.047363281,1.330078125,-2.655029297,-0.152587891,2.44140625,-117.4702148,-117.1692657,0
9206,0.088378906,0.047363281,1.332519531,-2.655029297,-0.213623047,2.502441406,-117.3169632,-117.1692657,0
9221,0.088378906,0.046386719,1.330078125,-2.593994141,-0.213623047,2.563476563,-117.1795654,-117.1692657,0
9235,0.084960938,0.049804688,1.333984375,-2.624511719,-0.091552734,2.563476563,-117.1795654,-117.1692657,0
9240,0.083984375,0.049804688,1.331542969,-2.593994141,-0.061035156,2.563476563,-117.1795654,-117.1692657,0
9245,0.087402344,0.051757813,1.329589844,-2.655029297,-0.152587891,2.593994141,-117.1161499,-117.1692657,0
9279,0.091796875,0.053710938,1.333007813,-2.563476563,-0.152587891,2.685546875,-117.1901321,-117.1692657,0
9293,0.088378906,0.051269531,1.33203125,-2.532958984,-0.122070313,2.899169922,-117.1901321,-117.1692657,0
9298,0.089355469,0.049804688,1.331054688,-2.502441406,-0.152587891,2.838134766,-117.1901321,-117.1692657,0
9303,0.089355469,0.048828125,1.332519531,-2.471923828,-0.152587891,2.9296875,-117.1901321,-117.1692657,0
9311,0.087890625,0.048339844,1.331542969,-2.624511719,-0.061035156,3.021240234,-117.1901321,-117.1692657,0
9316,0.088378906,0.049316406,1.329101563,-2.685546875,-0.122070313,2.990722656,-116.5929794,-117.1692657,0
9330,0.087402344,0.049316406,1.332519531,-2.563476563,-0.152587891,3.143310547,-116.5929794,-117.1692657,0
9335,0.086425781,0.048339844,1.33203125,-2.563476563,-0.091552734,3.204345703,-116.5929794,-117.1692657,0
9340,0.084472656,0.047851563,1.331542969,-2.593994141,-0.091552734,3.051757813,-116.5929794,-117.1692657,0
9346,0.086425781,0.048828125,1.33203125,-2.593994141,-0.091552734,3.051757813,-116.5929794,-117.1692657,0
9351,0.089355469,0.047851563,1.332519531,-2.563476563,-0.122070313,2.990722656,-116.9311905,-117.1692657,0
9365,0.088867188,0.048828125,1.333984375,-2.532958984,-0.152587891,2.868652344,-116.9311905,-117.1692657,0
9370,0.088867188,0.046875,1.329589844,-2.502441406,-0.213623047,2.716064453,-116.9311905,-117.1692657,0
9375,0.08984375,0.047851563,1.330078125,-2.532958984,-0.244140625,2.593994141,-116.9311905,-117.1692657,0
9380,0.088867188,0.048339844,1.329589844,-2.624511719,-0.244140625,2.532958984,-116.9311905,-117.1692657,0
9385,0.091796875,0.047851563,1.330566406,-2.624511719,-0.213623047,2.502441406,-116.9893188,-117.1692657,0
9403,0.086914063,0.047363281,1.329101563,-2.593994141,-0.244140625,2.563476563,-117.184845,-117.1692657,0
9417,0.088378906,0.047363281,1.329101563,-2.593994141,-0.213623047,2.563476563,-117.184845,-117.1692657,0
9422,0.087890625,0.048828125,1.331054688,-2.532958984,-0.152587891,2.563476563,-117.4015121,-117.1692657,0
9436,0.088378906,0.048828125,1.331054688,-2.532958984,-0.213623047,2.624511719,-117.4015121,-117.1692657,0
9451,0.086914063,0.051757813,1.332519531,-2.593994141,-0.213623047,2.655029297,-117.4015121,-117.1692657,0
9456,0.086914063,0.051757813,1.332519531,-2.655029297,-0.152587891,2.746582031,-117.4015121,-117.1692657,0
9461,0.085449219,0.049804688,1.333007813,-2.593994141,-0.213623047,2.716064453,-117.2746887,-117.1692657,0
9475,0.088378906,0.050292969,1.332519531,-2.563476563,-0.244140625,2.807617188,-117.2746887,-117.1692657,0
9483,0.08984375,0.049804688,1.333007813,-2.593994141,-0.122070313,2.807617188,-117.2746887,-117.1692657,0
9488,0.090820313,0.049316406,1.334472656,-2.593994141,-0.152587891,2.807617188,-117.2746887,-117.1692657,0
9493,0.08984375,0.048828125,1.33203125,-2.502441406,-0.152587891,2.746582031,-117.2482605,-117.1692657,0
9506,0.091308594,0.048828125,1.33203125,-2.502441406,-0.152587891,2.868652344,-117.3803787,-117.1692657,0
9524,0.0859375,0.049316406,1.330566406,-2.593994141,-0.183105469,2.9296875,-117.3803787,-117.1692657,0
9529,0.086425781,0.047363281,1.330566406,-2.532958984,-0.122070313,2.990722656,-117.3539505,-117.1692657,0
9543,0.088867188,0.048339844,1.328613281,-2.502441406,-0.183105469,2.807617188,-117.3539505,-117.1692657,0
9548,0.086425781,0.049316406,1.331542969,-2.532958984,-0.122070313,2.838134766,-117.3539505,-117.1692657,0
9553,0.086914063,0.048828125,1.328613281,-2.471923828,-0.122070313,2.807617188,-117.3539505,-117.1692657,0
9559,0.088867188,0.047363281,1.331054688,-2.44140625,-0.091552734,2.716064453,-117.3539505,-117.1692657,0
9564,0.087402344,0.046875,1.331542969,-2.410888672,-0.061035156,2.593994141,-117.3539505,-117.1692657,0
9569,0.088378906,0.045410156,1.331542969,-2.502441406,-0.061035156,2.563476563,-117.1267166,-117.1692657,0
