deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
8340,0.01171875,0.034179688,1.193847656,-1.312255859,-1.190185547,-4.272460938,176.0177155,176.081131,0,1
8345,0.011230469,0.047851563,1.194824219,-1.342773438,-1.190185547,-4.547119141,176.0177155,176.081131,0,1
8350,0.006835938,0.048339844,1.194824219,-1.495361328,-1.159667969,-5.004882813,176.0177155,176.081131,0,1
8355,0.006835938,0.040039063,1.19140625,-1.586914063,-1.159667969,-5.004882813,176.0177155,176.081131,0,1
8376,-0.000488281,0.03125,1.19921875,-1.342773438,-1.525878906,-4.486083984,176.1313324,176.1313324,0,1
8381,-0.000488281,0.03125,1.194335938,-1.190185547,-1.617431641,-4.241943359,176.1313324,176.1313324,0,1
8386,0.001953125,0.037597656,1.193847656,-1.190185547,-1.678466797,-3.997802734,176.1313324,176.1313324,0,1
8391,0.00390625,0.041503906,1.196289063,-1.190185547,-1.770019531,-3.692626953,176.1313324,176.1313324,0,1
8398,0.004394531,0.04296875,1.197753906,-1.098632813,-1.770019531,-3.753662109,176.1313324,176.1313324,0,1
8403,0.008789063,0.04296875,1.197265625,-1.037597656,-1.831054688,-3.936767578,175.8776703,176.1313324,0,1
8408,0.012207031,0.0390625,1.196289063,-1.037597656,-1.831054688,-3.936767578,175.6847992,176.1313324,0,1
8413,0.016601563,0.038574219,1.1953125,-1.037597656,-1.892089844,-3.90625,175.6847992,176.1313324,0,1
8418,0.021972656,0.037109375,1.196289063,-1.007080078,-1.770019531,-3.051757813,175.6847992,176.1313324,0,1
8423,0.026855469,0.031738281,1.192382813,-1.007080078,-1.770019531,-3.051757813,175.6847992,176.1313324,0,1
8428,0.029296875,0.023925781,1.198242188,-1.037597656,-1.739501953,-2.685546875,175.6847992,176.1313324,0,1
8433,0.029785156,0.020996094,1.199707031,-0.885009766,-1.556396484,-2.227783203,175.6847992,176.1313324,0,1
8440,0.028808594,0.025390625,1.194824219,-0.640869141,-1.342773438,-1.739501953,175.898819,176.1313324,0,1
8445,0.042480469,0.034179688,1.210449219,-0.427246094,-1.129150391,-1.556396484,175.898819,176.1313324,0,1
8451,0.013671875,0.029296875,1.190917969,-0.213623047,-1.190185547,-1.770019531,175.898819,176.1313324,0,1
8456,0.018066406,0.033691406,1.194335938,-0.48828125,-1.190185547,-1.495361328,175.898819,176.1313324,0,1
8461,0.011230469,0.031738281,1.200683594,-0.457763672,-1.159667969,-1.403808594,175.898819,176.1313324,0,1
8466,0.014160156,0.030273438,1.19921875,-0.305175781,-1.190185547,-1.525878906,175.898819,176.1313324,0,1
8471,0.010253906,0.02734375,1.19921875,-0.244140625,-1.129150391,-1.281738281,175.898819,176.1313324,0,1
8476,0.006347656,0.027832031,1.196777344,-0.274658203,-1.251220703,-1.342773438,176.149826,176.149826,0,1
8494,-0.008789063,0.03125,1.196289063,0.091552734,-1.586914063,-1.678466797,176.149826,176.149826,0,1
8499,-0.01171875,0.031738281,1.198242188,0.061035156,-1.861572266,-1.861572266,176.149826,176.149826,0,1
8504,-0.01171875,0.036621094,1.198242188,0.122070313,-1.983642578,-2.197265625,176.149826,176.149826,0,1
8509,-0.0078125,0.041015625,1.196777344,0.274658203,-2.227783203,-2.319335938,176.149826,176.149826,0,1
8518,0.004394531,0.048828125,1.196289063,0.122070313,-2.502441406,-2.960205078,175.9542999,176.149826,0,1
8523,0.009765625,0.056152344,1.194824219,0.091552734,-2.532958984,-3.326416016,175.9542999,176.149826,0,1
8528,0.014648438,0.063964844,1.196289063,0.030517578,-2.624511719,-3.723144531,175.9542999,176.149826,0,1
8534,0.022460938,0.069335938,1.1953125,-0.183105469,-2.563476563,-4.150390625,175.9542999,176.149826,0,1
8539,0.032226563,0.075195313,1.195800781,-0.457763672,-2.502441406,-4.608154297,175.9542999,176.149826,0,1
8544,0.038085938,0.078125,1.191894531,-0.762939453,-2.44140625,-5.065917969,175.9542999,176.149826,0,1
8549,0.042480469,0.080566406,1.193847656,-1.007080078,-2.410888672,-5.401611328,175.8565369,176.149826,0,1
8554,0.04296875,0.080566406,1.193359375,-1.251220703,-2.166748047,-5.615234375,175.8565369,176.149826,0,1
8559,0.048828125,0.07421875,1.184570313,-1.129150391,-1.831054688,-5.737304688,175.8565369,176.149826,0,1
8564,0.048828125,0.07421875,1.184570313,-1.678466797,-1.861572266,-5.310058594,175.8565369,176.149826,0,1
